parcel_id,residual
parcel_1777665966157_egeq5,0.01744720674610434
parcel_1777666032243_cm5hf,0.01858000062792121
parcel_1777666069829_t5ehp,0.017465608587209764
parcel_1777666096636_lo0y0,0.018835555180835795
parcel_1777666127269_tb54q,0.019136198948328038
parcel_1777666170696_fk7cq,0.01731551390028981
parcel_1777666196106_hhim9,0.019552077836100013
parcel_1777666217906_3lfgs,0.01738521961188386
parcel_1777666232428_43q5u,0.01769393601569064
parcel_1777666247763_3i29v,0.017109433833296897
parcel_1777666273477_7e680,0.018781976095760988
parcel_1777666300643_1c2ue,0.015729028840524344
parcel_1777666340373_juajr,0.016797574602434317
parcel_1777666373384_lm2rb,0.018417899895592758
parcel_1777666392195_gp8ab,0.018728399715204774
parcel_1777666410382_4ozey,0.018130411311244998
parcel_1777666449437_wci0q,0.01615101137908358
parcel_1777666485645_8qagw,0.017051197127929234
parcel_1777666507054_wo1vk,0.019208813597736334
parcel_1777666529889_rdkq2,0.018271828689278048
parcel_1777666572107_7pdad,0.019994328471955893
parcel_1777666591451_o64cz,0.020361416969863485
parcel_1777666608727_pm8wx,0.018997606655157696
